1357703041.387000,12434701,24342,-15227,1588,1127.5,2.62852,2.5975
1357703041.387000,12433800,-12398,6182,1617,955.2,-0.076155,-0.02382
1357703041.387000,12433000,-11129,4635,1438,937.7,-0.278624,-0.22768
1357703041.387000,12432900,24105,-15831,1754,1053.8,2.562677,2.537671
1357703041.387000,12432600,-10657,6506,1510,1094.2,-0.428844,-0.41693
1357703041.387000,12431000,-37399,-2527,1876,891.4,-2.748864,-2.703195
1357703041.387000,12430900,-35624,-3693,1789,1008.8,-2.616589,-2.499146
1357703041.387000,12430301,-11875,6891,1369,1303.2,-0.270842,-0.243318
1357703041.387000,12424900,-36687,-2850,1886,957.3,-2.640563,-2.55328
1357703041.387000,12401100,6537,-2918,1472,672.8,0.322475,0.405858
1357703041.387000,12352600,18252,-15059,932,560.1,0.818534,0.797763
1357703041.427000,12434701,24318,-15205,1604,1105.5,2.599694,2.541004
1357703041.427000,12433800,-12365,6179,1599,949.9,-0.065576,0.000126
1357703041.427000,12433000,-11091,4614,1627,983.3,-0.304095,-0.259645
1357703041.427000,12432900,23993,-15778,1780,1272,2.535541,2.615883
1357703041.427000,12432600,-10604,6488,1411,1127.5,-0.418971,-0.38289
1357703041.427000,12431000,-37399,-2547,1913,779.4,-2.54376,-2.545269
1357703041.427000,12430900,-35662,-3712,1814,1007,-2.638174,-2.537621
1357703041.427000,12430301,-11818,6876,1319,1285.9,-0.274879,-0.277875
1357703041.427000,12424900,-36723,-2891,1900,1011.8,-2.610125,-2.523408
1357703041.427000,12401100,6529,-2918,1474,667.8,0.346305,0.318742
1357703041.427000,12352600,18273,-15068,932,624.3,0.723107,0.801998
1357703041.468000,12434701,24294,-15166,1598,1088.6,2.551882,2.537845
1357703041.468000,12433800,-12324,6167,1596,960.4,-0.06176,-0.049192
1357703041.468000,12433000,-11057,4599,1637,969.6,-0.305429,-0.297346
1357703041.468000,12432900,23923,-15734,1780,1334.3,2.487875,2.549757
1357703041.468000,12432600,-10553,6468,1388,1158.9,-0.429858,-0.376361
1357703041.468000,12431000,-37420,-2593,1931,734.2,-2.373835,-2.378179
1357703041.468000,12430900,-35715,-3729,1817,1046.2,-2.645522,-2.549571
1357703041.468000,12430301,-11778,6870,1316,1241.3,-0.251686,-0.282718
1357703041.468000,12424900,-36763,-2936,1904,1097.8,-2.546185,-2.51061
1357703041.468000,12401100,6528,-2929,1473,658.4,0.29236,0.302158
1357703041.468000,12352600,18289,-15077,932,704.3,0.64658,0.651338
1357703041.509000,12434701,24259,-15151,1582,1092.3,2.536208,2.566296
1357703041.509000,12433800,-12277,6158,1553,933.2,-0.032443,-0.001629
1357703041.509000,12433000,-11012,4577,1634,965.9,-0.355028,-0.414787
1357703041.509000,12432900,23866,-15707,1781,1314.8,2.543361,2.572144
1357703041.509000,12432600,-10491,6457,1435,1166.4,-0.340464,-0.360363
1357703041.509000,12431000,-37473,-2597,1921,700.6,-2.523763,-2.582781
1357703041.509000,12430900,-35752,-3735,1814,1027.5,-2.687912,-2.61665
1357703041.509000,12430301,-11737,6862,1481,1211.8,-0.237229,-0.269074
1357703041.509000,12424900,-36805,-2943,1902,1095.9,-2.596277,-2.541913
1357703041.509000,12401100,6534,-2942,1471,648.9,0.272038,0.249579
1357703041.509000,12352600,18315,-15062,932,762.3,0.639074,0.595165
1357703041.553000,12434701,24195,-15128,1568,1153.1,2.579062,2.597104
