1357703041.387000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703041.427000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703041.468000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703041.509000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703041.553000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703041.591000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703041.629000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703041.670000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703041.710000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703041.752000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703041.794000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703041.835000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703041.878000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703041.918000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703041.960000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703042.001000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703042.046000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703042.086000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703042.128000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703042.173000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703042.213000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703042.253000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703042.295000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703042.333000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703042.375000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703042.416000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703042.454000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703042.491000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703042.531000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703042.568000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703042.610000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703042.650000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703042.689000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703042.725000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703042.762000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703042.805000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703042.843000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703042.883000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703042.918000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703042.957000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703042.995000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703043.034000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703043.071000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703043.109000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703043.146000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703043.183000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703043.221000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703043.256000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703043.295000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
1357703043.334000:12434701,12432900;12433800,12433000,12432600,12430301;12431000,12430900,12424900;12401100;12352600
